title,year,certificate,runtime,genre,rating,metascore
Deadpool,(2016),R,108 min,"Action, Adventure, Comedy ",8.0,65
Darbareye Elly,(2009),TV-PG,119 min,"Drama, Mystery, Thriller ",8.0,87
Dev.D,(2009),Not Rated,144 min,"Drama, Romance ",8.0,
Ip Man,(2008),R,106 min,"Action, Biography, Drama ",8.0,59
My Name Is Khan,(2010),PG-13,165 min,Drama ,8.0,50
The Breath,(2009),,128 min,"Action, Drama, Thriller ",8.0,
Slumdog Millionaire,(2008),R,120 min,"Drama, Romance ",8.0,84
Black Swan,(2010),R,108 min,"Drama, Thriller ",8.0,79
The Avengers,(2012),PG-13,143 min,"Action, Adventure, Sci-Fi ",8.0,69
Persepolis,(2007),PG-13,96 min,"Animation, Biography, Drama ",8.0,90
Dallas Buyers Club,(2013),R,117 min,"Biography, Drama ",8.0,80
The Pursuit of Happyness,(2006),PG-13,117 min,"Biography, Drama ",8.0,64
Blood Diamond,(2006),R,143 min,"Adventure, Drama, Thriller ",8.0,64
The Bourne Ultimatum,(2007),PG-13,115 min,"Action, Mystery, Thriller ",8.0,85
3-Iron,(2004),R,88 min,"Crime, Drama, Romance ",8.0,72
Sin City,(2005),R,124 min,"Crime, Thriller ",8.0,74
The Diving Bell and the Butterfly,(2007),PG-13,112 min,"Biography, Drama ",8.0,92
G.O.R.A.,(2004),,127 min,"Adventure, Comedy, Sci-Fi ",8.0,
Ratatouille,(2007),G,111 min,"Animation, Adventure, Comedy ",8.0,96
Casino Royale,(2006),PG-13,144 min,"Action, Adventure, Thriller ",8.0,80
Kill Bill: Vol. 2,(2004),R,137 min,"Action, Crime, Thriller ",8.0,83
The Return,(2003),Not Rated,110 min,Drama ,8.0,82
"Spring, Summer, Fall, Winter... and Spring",(2003),R,103 min,"Drama, Romance ",8.0,85
The Sea Inside,(I) (2004),PG-13,126 min,"Biography, Drama ",8.0,74
Cinderella Man,(2005),PG-13,144 min,"Biography, Drama, History ",8.0,69
Kal ho naa ho,(2003),Not Rated,186 min,"Comedy, Drama, Musical ",8.0,54
